id	qid1	qid2	question1	question2	is_duplicate
97	11747	6818	¿ cómo uso el cupón selecto ?	¿ cómo selecciono la moneda ?	0
98	2529	8476	necesito hablar con el ser humano por favor	quiero hablar con un humano en línea	1
99	11414	11248	cómo hago el pedido	¿ cómo cancelo el pedido congelado ?	0
100	9558	4692	hola .	hasta ahora todavía no he llegado a mi orden	0
101	3876	970	no se puede abrir una cuenta	lo sentimos , su cuenta se ha marcado por algunos motivos y no puede participar en esta promoción .	0
102	7262	1293	presento mi apelación y no pasa nada	no puedo enviar mi formulario de disputa	0
103	4419	5413	no recibo el correo electrónico de la orden de protección de compras	no puedo extender el tiempo de protección de una orden	0
104	12490	6103	que hora es en china ?	¿ qué es el tiempo de procesamiento ?	0
105	8295	13112	necesito que confirmes mi tarjeta de crédito	guardé mi tarjeta de crédito pero necesito reemplazarla por una nueva	0
106	11202	828	¿ tienes un número de teléfono ?	tienes un numero de telefono	1
107	13532	7766	hola al contactar ahora había un icono de chat ahora en el lado izquierdo de la página ahora ya no está	cuando hago clic en pagar ahora , me está llevando a la página de inicio de sesión .	0
108	194	875	el tiempo de disputa ha terminado	mi tiempo de procesamiento ha terminado y quiero extenderlo .	0
109	6445	9081	quiero enviar el pedido todo a la vez	me gustaría pagar todo el artículo a la vez	0
110	931	12443	estoy bien	estoy en	0
111	4037	3781	devuélveme al operador	cómo convertir la cuenta del comprador en cuenta del vendedor ?	0
112	13123	2552	un colega dijo que sería restaurado	pagué un pedido pero decía que todavía está esperando el pago	0
113	3493	6408	¿ es esto una jodida computadora ?	¿ eres una persona o una computadora ?	1
114	12258	7699	¿ cómo puedo verificar si un vendedor es confiable ?	¿ cómo reviso mi cupón ?	0
115	2113	6664	¿ contacta al vendedor ?	no puedo contactar al vendedor	0
116	4419	3848	no recibo el correo electrónico de la orden de protección de compras	¿ se puede extender mi protección de compra ?	0
117	5159	2363	después de hacer mi pedido , me dijeron que habría envíos adicionales porque cambié mi dirección .	quiero cambiar mi dirección de envío para la orden de logística	0
118	2898	12123	hola , no he podido pagar algunos artículos porque me dice que hay un error que intento más tarde .	he escrito al vendedor de diferentes maneras , pero él todavía me ignora	0
119	4229	2369	el vendedor cambió el método de envío ?	¿ cómo puedo cambiar el método de envío ?	0
120	5357	2063	necesito los diez mejores artículos que se vendieron en NUMs en alta	¿ en qué situación me será reembolsado ?	0
121	10509	9930	quiero confirmar que recibí la mercancía y estoy contento con ella , pero no puedo iniciar sesión	necesito recibir mercancía pronto .	0
122	1420	8353	entonces estaba comprando un caso	quiero extender la compra de protección	0
123	10182	11463	¿ puedo ordenar por nombre de la compañía ?	nunca ordenaré de esta compañía otra vez	0
124	9558	1309	hola .	necesito la dirección de correo electrónico de esta empresa	0
125	4888	5805	si el producto de mi pedido se coloca en europa , y quiero llegar a finlandia .	quiero hacer un pedido .	0
126	9758	6436	tengo un problema con ustedes	tengo un problema con un pedido	1
127	153	12006	cómo cambiar el precio	¿ cómo sabes el precio ?	0
128	5614	12100	¿ a qué hora debo contactarlo para recibir ayuda ?	¿ qué haces en tu tiempo libre ?	0
129	4281	5358	¿ cómo cancelo mi cuenta ?	me gustaría saber cómo cancelar mi cuenta ?	1
130	1121	12125	así que por favor borra mi nueva cuenta .	quiero reactivar mi cuenta por favor ayuda .	0
131	7862	7120	por qué el precio del producto no cambió	¿ cómo cambio el precio en euros ?	0
132	13123	6171	un colega dijo que sería restaurado	el vendedor dijo que los bienes se perdieron .	0
133	12070	3127	no puedo ver el orden en mi auto	¿ por qué no puedo ver mis comentarios ?	0
134	11741	10104	hola , pedí un disfraz de cosplay con la moneda equivocada cancelé el pedido y el vendedor me dijo que se aclaró de inmediato , pero ahora no hay suficiente crédito en la tarjeta ¿ podría amablemente recibir la cantidad lo más rápido posible ?	el vendedor me dijo que cancelara la orden de devolver el dinero .	0
135	13398	9883	él me lo escribió ayer	el vendedor cambia de operador sin avisarme y ahora quiere que pague cargos adicionales	0
136	6734	12167	dirección predeterminada	¿ puede el vendedor cambiar la dirección ?	0
137	13532	11725	hola al contactar ahora había un icono de chat ahora en el lado izquierdo de la página ahora ya no está	¿ cuál es el estado en este momento ?	0
138	6276	5516	es esto un ser humano ?	necesito hablar con un humano	1
139	10560	9491	me gustaría lo más pronto posible	me gustaría chatear en vivo	0
140	8510	12720	entonces esto debe ser una broma , debes estar bromeando .	me confundiste .	0
141	3137	7014	ya le pregunté algo de lo que estoy hablando con una computadora , ¿ no ?	tengo una disputa en progreso pero el vendedor se niega a hablar conmigo	0
142	5548	9271	¿ puedo reabrir una disputa ?	¿ puedo reabrir la disputa después de cerrarla ?	0
143	1520	7747	hago clic en el botón pagar ahora y dice cada vez que ha habido errores , así que no puedo pagar mi pedido	he devuelto mi pedido pero el pedido ya se ha completado .	0
144	5329	6431	"cada vez que intento pagar el pedido que he realizado , aparece un mensaje de error que indica que , por "" motivos de seguridad "" , no se pudo ejecutar el pago ."	recibí un correo electrónico que decía que mi orden fue cancelada por falta de pago	0
145	7862	13258	por qué el precio del producto no cambió	el proveedor cambia el precio de la orden sin mi permiso	0
146	751	11893	la retroalimentación no se muestra	mi cuenta aparece en español , necesito inglés .	0
147	13062	13276	de acuerdo por favor .	puedo preguntarte algo	0
148	3500	12431	solo necesito un reembolso .	necesito un representante en vivo por favor	0
149	1256	6115	hola , me gustaría saber cómo patrocinar a un amigo .	me gustaría saber los comentarios de un vendedor .	0
150	1570	5451	cancelado sin envío	no hay información para mi envío en este momento .	0
151	11194	9645	ven a mi cama	quiero que mi paquete llegue más rápido	0
152	1650	10259	el correo electrónico de registro no funciona	recibí el correo electrónico para mi registro , pero no pude ver el enlace de verificación para hacer clic en él .	1
153	1734	2759	no recibo mi pedido	no hables ingles	0
154	4963	10448	¿ puedo usar la tarjeta visa entonces ?	¿ cómo puedo comprar productos si no tengo una tarjeta de visa ?	0
155	424	4504	cómo pago dinero por mi producto , lo que elijo	¿ cómo elijo los colores que quiero ?	0
156	890	2925	quiero usar otro método de pago	quiero cancelar un pedido y usar el dinero para pagar otro pedido	0
157	7065	7554	hola eva !	quiero un reembolso a mi tarjeta de crédito	0
158	9753	8750	me gustaría saber sobre el arancel adicional .	recibí un cupón de descuento .	0
159	325	9305	no he recibido mis bienes	¿ cómo presento una disputa después de recibir mis bienes y el tiempo se agotó ?	0
160	9006	1575	la pregunta anterior	tengo una pregunta sobre el reembolso .	0
161	7592	4379	recibí mis pedidos y estoy muy descontento con la forma en que huelen los zapatos .	recibí un artículo con muy mal estado	1
162	8424	1998	mi último comandante , compro esto	¿ por qué no puedo comprar productos con mi cuenta ?	0
163	775	10591	he analizado lo que sugirió y no me ayudó .	hice el pago en línea , el pago se realizó	0
164	10328	1931	cómo aplicar la garantía	¿ el cupón se aplica automáticamente ?	0
165	7935	12742	pagué los productos que nunca he recibido , sin embargo , no yo , he puesto una confirmación de recibo y también un comentario	nunca he recibido el producto comprado	1
166	1988	13270	el pedido ha sido enviado hace NUMs días pero aún no lo recibí	¿ cómo sé si mi pedido ha sido enviado ?	0
167	3087	2608	lo sentimos , su transacción no pasó la verificación debido a razones de seguridad .	lo siento , su pago no fue exitoso .	0
168	12087	6536	no puedo abrir la disputa	¿ puedo abrir una disputa que cancelé ?	0
169	2933	3608	ok el te pierdes	perdí mi contraseña	0
170	4029	7554	quiero cambiar mi tarjeta de crédito que está registrada para el pago	quiero un reembolso a mi tarjeta de crédito	0
171	1978	12369	¿ cómo puedo cambiar los datos de mi tarjeta de crédito ?	¿ cómo puedo cambiar mi dirección de envío ?	0
172	12878	10815	¿ qué pasará cuando abra una disputa ?	¿ cuándo recibiré un reembolso después de abrir la disputa ?	0
173	11256	13588	no puedo hablar en vivo	no puedo hablar inglés	1
174	9782	2497	cómo encontrar vendedor es confiable	¿ cómo encuentro vendedores confiables ?	1
175	12490	805	que hora es en china ?	¿ cuál es el número de contacto del china post ?	0
176	1950	1919	no quiero un robot estúpido , necesito una respuesta	no hablo ingles bien	0
177	11783	11247	compré un iteam ayer y me han cobrado el iteam que aparece en el extracto de mi tarjeta de crédito .	¿ cómo puedo encontrar mi número de rastreo ?	0
178	678	10356	¿ qué es una protección del comprador ?	que es la protección del comprador	1
179	7694	13502	"¿ por qué sigues publicándome ? """	¿ cuántos días para entregar el paquete ?	0
180	292	8535	cómo usar el servicio de garantía ?	cómo usar el cupón ?	0
181	7061	6152	vendedor tiene otro comportamiento	tengo un problema con un vendedor malo	1
182	8582	13588	hago todo , y no puedo	no puedo hablar inglés	0
183	3587	12970	¿ no creé una cuenta cuando pedí mi producto ?	por qué no puedo crear una cuenta para mí	0
184	8653	1974	"¿ qué sucede con mi pedido cuando el estado de mi envío indica "" envío cancelado "" ?"	¿ qué sucede si un pedido se muestra dos veces en mi cuenta ?	0
185	9874	6286	¿ cómo puedo volver a enviar un vendedor de fraude ?	¿ cómo puedo cambiar la disputa si el vendedor está de acuerdo ?	0
186	1049	6794	el cargador inalámbrico que recibí está defectuoso y no se carga	los productos son defectuosos	1
187	12201	10696	¿ puedes bailar para mí ?	puedes llamarme	0
188	590	12598	hola eva al principio la pregunta .	eva entendiste mi pregunta	0
189	7145	9160	cómo eliminar la tarjeta de crédito ?	¿ cómo eliminar pedidos innecesarios ?	0
190	10249	11742	¿ puedo cambiar la cantidad de variantes de un producto para poder importarlo a shopify ?	¿ puedo importar NUMs solo artículo ?	0
191	7299	11946	¿ cómo obtengo cupones y descuentos ?	¿ puedo obtener estos cupones reactivados ?	0
192	4146	55	hace un par de semanas busqué camisetas de la nasa en la tienda , en aquel entonces tenía muchos resultados .	¿ cómo estrechar mis resultados de búsqueda ?	0
193	3765	5954	hola , el vencimiento de mi tarjeta de crédito ha expirado y no puedo encontrar ningún lugar donde se puedan sobrescribir los nuevos datos de la tarjeta .	puedo usar una tarjeta de credito	0
194	2046	10162	guardar para más adelante	¿ qué hacer si el pedido se pagó y luego se cerró ?	0
195	10590	684	por favor lea arriba	por favor lee mi pregunta	1
196	6458	684	¿ puedes leer ?	por favor lee mi pregunta	0
197	13584	6665	¿ puedo hacer una pregunta ?	quiero hacer una pregunta	1
198	5019	1808	mi nombre es bill	eliminar mi nombre en la transacción	0
199	5235	3914	por favor , alguien que sepa español , me resulta difícil escribir y traducir y luego traducir lo que me escribe	por favor dime que paso con mis articulos	0
200	4223	9653	¿ quién puede ayudarme por favor ?	¿ me podría ayudar ?	1
201	8774	3515	cómo abrir una disputa	¿ cómo cancelar una disputa ?	0
202	8774	8273	cómo abrir una disputa	necesito abrir una disputa	1
203	6985	827	guardar detalles de la tarjeta	necesito cambiar los detalles de mi tarjeta de crédito .	0
204	11011	12087	no puedo abrir una disputa	no puedo abrir la disputa	1
205	10749	5921	¿ cómo puedo obtener un recibo o factura de la orden ?	¿ cómo obtengo una factura para pagar ?	1
206	12001	4443	el vendedor no responde mi estado de reembolso	ha finalizado el tiempo de respuesta del vendedor	0
207	4354	3173	para mi teléfono	no puedo agregar mi número de teléfono	0
208	5422	850	no sé dónde encontrar mi código de barras	¿ cómo puedes no saber ?	0
209	10961	750	no estoy seguro de qué significa NUMs cm por NUMs cm	¿ puedo asegurarme de que mi pago al vendedor está asegurado ?	0
210	2981	2139	cómo agregar artículos en el carro	¿ cuántos productos puedo agregar en el carrito de compras ?	0
211	446	3662	he contactado al vendedor un horario de visitas pero él no devolvió mi dinero	he estado tratando de contactar a un vendedor pero él no me ha respondido	1
212	6886	11326	en mi estado de reembolso no aparece s ' disputa	¿ por qué el pedido no se muestra en mi cuenta ?	0
213	8367	277	cómo abrir disputa para pedidos completados	mi transacción se completó pero quiero abrir la disputa	1
214	9855	7062	agregando una tarjeta de crédito	dónde cargar el extracto de la tarjeta de crédito	0
215	7148	10317	¿ cómo informo al vendedor ?	¿ cómo informo a un vendedor ?	1
216	6934	2023	es tu sitio seguro	¿ cómo funciona paypal en su sitio ?	0
217	9161	3551	hacer un pedido ?	quiero hacer un pedido por teléfono	0
218	9892	4603	cómo bloquear para bloquear al vendedor	¿ cómo puedo contactar al vendedor ?	0
219	7887	12082	¿ cómo confirmo la entrega una vez que he recibido mi pedido ?	accidentalmente presioné confirmar la entrega pero no recibí mi pedido .	0
220	3582	9907	cómo registrar una cuenta	registrar la cuenta es gratis o no	0
221	11699	2680	puede ayudarme	¿ me puedes ayudar ?	1
222	11666	7836	cuando el producto es futuro	¿ cuándo recibiré el producto que compré ?	1
223	9301	9606	quiero comprar varios artículos de un vendedor , pero después de comprar más que el sistema me cobra por el envío , el vendedor ajustará el precio , pero mi sistema no me permite hacerlo porque no puedo ordenar el artículo y pagarlo más tarde .	quiero comprar varios productos del mismo vendedor	0
224	6458	6144	¿ puedes leer ?	¿ cómo puedo acceder y leer los comentarios que el vendedor me dio ?	0
225	1686	6664	no puede contactar al vendedor	no puedo contactar al vendedor	1
226	11364	7359	cómo obtener la garantía	como obtengo pi	0
227	1080	7072	intenté pagar mi orden , ¿ qué pasaría ?	traté de pagar con tarjeta de crédito pero apareció un error de pedido digital inválido .	0
228	5923	9524	el estado ha terminado pero no tengo nada .	¿ cómo puedo abrir una disputa si el estado está terminado ?	0
229	5594	2557	entonces , ¿ quién dará una respuesta ?	vendedor que se niega a responder a mis correos electrónicos	0
230	6031	7336	tengo un problema con el sistema visité esta página completé el formulario	tengo un problema con el pago	0
231	819	7550	cómo recibir un reembolso a través de boleto ?	¿ cómo recibo un reembolso de boleto ?	1
232	11479	1239	método de envío rápido	método de envío incorrecto	0
233	11394	8517	el vendedor no responde	tengo una disputa con el vendedor	0
234	2955	5478	"hay un error al traducir una palabra "" orden "" en inglés a turco ."	pagado por los bienes por error	0
235	4241	6204	enviar a siria	enviar a otro lugar	0
236	3866	1589	eres una persona viva	¿ cómo puedo obtener una persona en vivo ?	1
237	1437	5402	he recibido mis productos pero tienen el tamaño incorrecto .	seleccioné el tamaño incorrecto	0
238	1179	2953	quiero cancelar el pedido	hice un pedido y pagué .	1
239	2889	12023	y hasta ahora no he tenido respuestas	por favor , hágamelo saber su dirección de correo electrónico	0
240	13373	12790	quiero enviar un pedido , el sistema de cerveza está ocupado .	esta cuenta no existe , ¿ qué debería hacer ?	0
241	11359	8801	 NUMs / NUMs acabo de cancelar	ya cancelé pero tomaron dinero	0
242	6857	12661	mi proveedor está cambiando el número de seguimiento , pero no puedo rastrearlo .	no puedo enviar mensajes a mi proveedor .	0
243	231	9404	hice una compra .	¿ me devuelven mi dinero si cancelo una compra ?	0
244	2106	4792	cómo establecer el método de envío	elegir el método de envío incorrecto	0
245	1203	12843	quiero apelar tu juicio .	quiero tu correo	0
246	4502	8476	el botón de servicio en línea no está activado	quiero hablar con un humano en línea	1
247	7510	9040	pagué con tarjeta y no me envió un correo electrónico sobre el número de pedido	cambié la tarjeta que pagó el pedido	0
248	11283	10051	¿ cómo cambio monedas en cupones ?	¿ cómo uso las monedas ?	1
249	6525	2727	cómo hacer una nueva tienda	cómo hacer el pago con webmoney	0
250	4774	10850	mi seguimiento no está funcionando .	¿ por qué mi orden de seguimiento no funciona ?	1
251	9807	10324	voy a pedir otra ayuda	quiero pedir un reembolso	0
252	4623	10316	¿ cómo puedo cambiar mi contraseña si ya no tengo acceso a ese correo electrónico ?	¿ puedo pagar el pedido por correo electrónico ?	0
253	6194	13137	espero que entiendas lo que dije	espero que puedas ayudarme	1
254	7136	970	razones para la cancelación	lo sentimos , su cuenta se ha marcado por algunos motivos y no puede participar en esta promoción .	0
255	1179	9797	quiero cancelar el pedido	quiero cancelar el pedido en orden congelado	0
256	1866	9515	que mierda es eso	joder eva eres caliente	0
257	9558	2317	hola .	estoy tratando de pedir un vestido , pero no me da el tamaño para elegir .	0
258	8774	7095	cómo abrir una disputa	¿ cómo abro una disputa ?	1
259	8713	7612	necesito encontrar mi información de pago	¿ cómo puedo cambiar mi información de pago ?	0
260	2202	1860	quiero eliminar mi tarjeta de crédito de mi cuenta	¿ cómo eliminar el pago con un solo clic de mi cuenta ?	1
261	12373	12621	los productos que compré no funcionan .	necesito una disputa abierta , pero no tengo la opción	1
262	13259	8135	¡ acabo de leer que rechazaste mi apelación !	¿ cómo puedo leer mis comentarios que el vendedor escribió sobre mí ?	0
263	3722	8535	¿ cómo intercambiar puntos por cupón ?	cómo usar el cupón ?	0
264	3688	5665	después de que se abrió la disputa , el vendedor me aseguró que llegaría	una disputa abierta hace mucho tiempo .	0
265	5027	1987	cómo encontrar el barco del artículo de los ee .	¿ cómo puedo buscar artículo por número de artículo ?	0
266	1146	10475	¿ cómo solicito un reembolso ?	¿ cómo recibo un reembolso por parte de maestro ?	0
267	1847	2701	no podemos crear una cuenta	no puedo iniciar sesión	0
268	2324	1056	devolver la dirección de envío del vendedor	la dirección de envío no está disponible	0
269	6344	11798	hola , cancelé mi pedido .	¿ cuánto tiempo lleva recibir mi pedido ?	0
270	3832	5670	¿ ¿ ¿ ¿ ¿ hay alguien ahi ?	¿ ayudas a alguien ?	1
271	1810	277	quiero una disputa amorosa abierta , pero no puedo	mi transacción se completó pero quiero abrir la disputa	0
272	8823	7055	este es mi id de pedido	quiero cambiar mi nombre id	0
273	6130	9768	mi cuenta está rota	cerrar mi cuenta	0
274	4208	3759	después de la cantidad de días que recibí mi producto mi país es pakistán obtuve mi número de rastreo NUMs días antes	¿ pago antes o después de recibir mi mercancía ?	0
275	751	11326	la retroalimentación no se muestra	¿ por qué el pedido no se muestra en mi cuenta ?	0
276	12383	9958	¿ cómo puedo cambiar mi dirección de facturación ?	¿ cómo puedo cambiar mi nombre ?	0
277	12184	11985	no puedo hacer una cuenta y quiero rastrear un paquete	quiero rastrear un pedido	1
278	9425	9936	presenté mi apelación hace NUMs días y no tuve ninguna respuesta	cancelé esta orden hace algunas semanas , pero aún no he recibido ningún reembolso .	0
279	10711	5611	cuantos años tienes	¿ dónde puedo encontrar mensajes antiguos del vendedor ?	0
280	10514	7359	¿ cómo obtengo el número de pedido ?	como obtengo pi	0
281	5214	12354	sin embargo , traté de comprar la misma impresora y pagué con la misma tarjeta de crédito , pero no funciona .	¿ puedo comprar NUMs productos de diferentes vendedores en el mismo envío ?	0
282	3065	850	no sé inglés	¿ cómo puedes no saber ?	0
283	9172	7396	¿ por qué los puntos de recompensa están bajando ?	compartí con amigos , pero ¿ por qué no dar puntos ?	0
